fin	freq	inf_form	FIN INF	INF FIN	intervening
kell	12303	3	307	4861	7135
lehet	3997	0	1430	1545	1022
szeretne	2791	0	2241	414	136
fog	2644	0	136	1325	1183
akar	2424	16	159	883	1382
kezd	1871	103	743	1090	38
tud	1684	396	604	436	644
van	1528	20	1416	98	14
szeret	887	174	760	109	18
igyekszik	610	45	598	12	0
próbál	550	20	395	149	6
megy	465	478	346	101	18
szokott	401	0	206	92	103
sikerül	293	29	280	13	0
imád	207	26	201	6	0
látszik	170	12	0	170	0
tetszik	146	17	86	20	40
lát	140	692	115	25	0
kíván	129	12	10	79	40
kér	128	299	116	12	0
jön	115	67	56	59	0
szabad	112	2	43	63	6
mer	112	15	51	32	29
hagy	100	111	78	22	0
segít	73	283	68	5	0
utál	65	22	60	5	0
illik	63	1	47	13	3
jár	58	123	13	45	0
készül	57	29	8	49	0
tanul	56	273	16	40	0
fél	50	102	45	5	0
hall	47	215	29	18	0
kéretik	39	0	39	0	0
ad	34	214	19	15	0
vél	32	0	1	30	1
javasol	31	25	25	6	0
indul	29	91	10	19	0
vágyik	29	3	2	27	0
visz	27	69	11	16	0
tanít	27	65	5	20	2
hív	22	30	7	15	0
gondol	21	74	17	4	0
ér	20	9	1	19	0
bír	20	23	6	4	10
jelent	19	31	0	19	0
rohan	15	39	14	1	0
tervez	15	18	8	7	0
érdeklődik	15	224	14	1	0
ajánl	14	101	8	6	0
vár	13	175	10	3	0
enged	13	15	9	4	0
győz	13	38	11	2	0
siet	13	93	12	1	0
kényszerül	12	0	0	12	0
ismer	12	81	12	0	0
méltóztatik	11	0	6	4	1
fáj	11	26	5	6	0
jelentkezik	11	380	7	4	0
restell	10	1	9	1	0
gyűlöl	10	11	9	1	0
